ano,mes,data,plataforma,categoria,genero,titulo,reproducoes,tempo_medio_consumo,usuarios_ativos,assinaturas,avaliacao_media,receita_plataforma,horario_pico
2015,1,2015-01-01,Netflix,Filme,Tecnologia,Série Mistério,1635646,68.7,315706,71347,3.93,4026621.95,12:00
2015,1,2015-01-01,Netflix,Música,Comédia,Podcast Tech,903932,58.6,51193,39948,3.88,437331.02,18:00
2015,1,2015-01-01,Prime Video,Música,Ação,Filme Solar,1670417,8.0,128269,29129,3.35,2971976.23,08:00
2015,1,2015-01-01,Prime Video,Música,Tecnologia,Top Hits,1737927,54.5,410761,13653,2.27,4810029.46,08:00
2015,1,2015-01-01,Netflix,Música,Ação,Top Hits,127549,63.0,386336,149237,2.98,4952823.67,12:00
2015,1,2015-01-01,Prime Video,Música,Comédia,Podcast Tech,1716881,74.9,102309,25136,2.59,1803944.73,21:00
2015,1,2015-01-01,Disney+,Podcast,Drama,Série Mistério,1111358,19.9,262065,105325,2.0,2592430.34,21:00
2015,1,2015-01-01,Spotify,Filme,Ação,Filme Solar,128660,34.4,202514,14242,4.0,4326331.73,12:00
2015,1,2015-01-01,Netflix,Filme,Comédia,Podcast Tech,298374,19.4,29390,139018,2.55,4260659.51,18:00
2015,1,2015-01-01,Spotify,Filme,Ação,Podcast Tech,1194910,72.2,259233,28613,2.08,153646.77,08:00
2015,1,2015-01-01,Prime Video,Série,Comédia,Top Hits,1676260,21.5,499117,15264,4.03,1963972.42,21:00
2015,1,2015-01-01,Spotify,Música,Drama,Podcast Tech,657261,70.8,109474,154414,3.36,238686.53,21:00
2015,1,2015-01-01,Netflix,Filme,Ação,Top Hits,911407,12.5,208152,37643,4.58,3156868.8,21:00
2015,1,2015-01-01,YouTube Music,Filme,Drama,Série Mistério,59540,18.0,381897,89737,2.38,3069963.81,08:00
2015,2,2015-02-01,Disney+,Filme,Pop,Filme Solar,204290,29.6,200514,82110,1.97,2015443.27,08:00
2015,2,2015-02-01,YouTube Music,Música,Comédia,Top Hits,1160960,59.6,467331,146241,1.75,4887839.23,21:00
2015,2,2015-02-01,Prime Video,Podcast,Comédia,Top Hits,1218550,64.3,2846,150409,2.1,4279710.29,18:00
2015,2,2015-02-01,Prime Video,Filme,Drama,Podcast Tech,1377559,76.5,488693,30606,3.65,4004070.55,08:00
2015,2,2015-02-01,Prime Video,Filme,Tecnologia,Top Hits,1986698,83.1,494671,190733,2.24,421471.01,08:00
2015,2,2015-02-01,Spotify,Série,Ação,Top Hits,472103,85.8,335786,76122,1.22,1804130.25,12:00
2015,2,2015-02-01,Prime Video,Música,Pop,Série Mistério,1128272,39.4,450964,20373,2.54,4726034.99,18:00
2015,2,2015-02-01,YouTube Music,Filme,Ação,Filme Solar,1409770,20.3,124270,38693,2.5,4352076.49,08:00
2015,2,2015-02-01,Spotify,Filme,Tecnologia,Filme Solar,268513,13.0,409568,44302,4.73,3528076.02,12:00
2015,2,2015-02-01,YouTube Music,Série,Tecnologia,Filme Solar,206497,62.2,229063,81786,3.65,3483634.05,08:00
2015,2,2015-02-01,Spotify,Filme,Ação,Filme Solar,1246227,11.2,387758,4606,1.36,4950792.61,08:00
2015,2,2015-02-01,Spotify,Filme,Drama,Filme Solar,490922,85.3,140687,137700,2.27,2934517.77,12:00
2015,2,2015-02-01,Prime Video,Música,Drama,Podcast Tech,1629121,14.2,185407,165047,3.44,3678937.22,08:00
2015,2,2015-02-01,Netflix,Filme,Pop,Série Mistério,895046,5.5,362388,146613,1.61,3249526.54,08:00
2015,2,2015-02-01,YouTube Music,Filme,Comédia,Top Hits,1943287,28.5,178734,180454,1.91,3387177.01,21:00
2015,2,2015-02-01,Disney+,Música,Pop,Top Hits,1476985,79.2,18519,195543,1.54,2110427.07,18:00
2015,2,2015-02-01,Netflix,Música,Pop,Série Mistério,1563335,50.2,422236,139184,1.5,2683602.82,18:00
2015,2,2015-02-01,Spotify,Podcast,Ação,Top Hits,149822,23.7,123569,47665,1.13,4975405.93,08:00
2015,2,2015-02-01,YouTube Music,Música,Drama,Filme Solar,1385200,21.0,110524,188697,3.57,1745087.58,18:00
2015,2,2015-02-01,Prime Video,Série,Pop,Podcast Tech,1305455,6.4,212017,139892,1.1,1050877.98,18:00
2015,2,2015-02-01,Prime Video,Podcast,Pop,Podcast Tech,116817,42.5,312182,107359,3.45,776620.73,12:00
2015,2,2015-02-01,Netflix,Podcast,Tecnologia,Podcast Tech,1803010,40.0,341002,70955,4.09,390177.19,12:00
2015,2,2015-02-01,Prime Video,Podcast,Drama,Filme Solar,1303597,21.3,480978,29395,1.39,1201677.42,12:00
2015,2,2015-02-01,Netflix,Filme,Pop,Filme Solar,624044,60.7,449866,116363,2.13,3692078.03,08:00
2015,2,2015-02-01,YouTube Music,Série,Drama,Top Hits,1293288,39.0,382046,182032,3.95,1353783.49,08:00
2015,2,2015-02-01,Disney+,Série,Pop,Top Hits,884049,18.3,459434,147232,1.11,1962335.06,12:00
2015,2,2015-02-01,Netflix,Podcast,Pop,Filme Solar,1503698,22.8,98181,78208,3.38,2368162.92,08:00
2015,2,2015-02-01,Spotify,Podcast,Pop,Filme Solar,114476,67.8,484333,54298,3.42,449747.28,21:00
2015,2,2015-02-01,Spotify,Série,Comédia,Filme Solar,1871373,48.3,358413,97629,4.33,3301049.95,12:00
2015,2,2015-02-01,Spotify,Música,Ação,Top Hits,317267,40.7,127564,170995,3.38,2870488.51,18:00
2015,2,2015-02-01,Prime Video,Série,Comédia,Filme Solar,1525063,55.2,334740,42293,3.38,4188134.6,21:00
2015,2,2015-02-01,YouTube Music,Música,Comédia,Top Hits,1156187,75.3,494599,53211,1.68,21881.38,18:00
2015,2,2015-02-01,Netflix,Podcast,Tecnologia,Top Hits,786718,79.5,108007,16849,1.01,4077635.45,12:00
2015,2,2015-02-01,Prime Video,Filme,Ação,Podcast Tech,1946503,37.3,184719,102602,4.48,4372341.08,08:00
2015,2,2015-02-01,Disney+,Podcast,Tecnologia,Filme Solar,1401276,30.4,123006,39976,3.01,3475609.89,21:00
2015,2,2015-02-01,YouTube Music,Série,Pop,Filme Solar,171039,21.5,69132,71321,2.89,2391507.03,08:00
2015,2,2015-02-01,Prime Video,Música,Pop,Série Mistério,1195056,38.8,484170,112837,1.83,1571834.27,21:00
2015,3,2015-03-01,YouTube Music,Música,Comédia,Série Mistério,115282,54.8,44670,106831,4.33,2899187.52,21:00
2015,3,2015-03-01,Netflix,Podcast,Drama,Filme Solar,589235,38.9,426846,23038,1.18,1236300.21,18:00
2015,3,2015-03-01,Disney+,Música,Drama,Top Hits,870308,85.8,14559,162820,1.34,3616900.85,08:00
2015,3,2015-03-01,Prime Video,Filme,Pop,Podcast Tech,745347,48.1,115238,52652,1.96,2099141.89,18:00
2015,3,2015-03-01,YouTube Music,Série,Tecnologia,Série Mistério,1310244,38.5,1719,179681,4.0,2656663.18,08:00
2015,3,2015-03-01,YouTube Music,Música,Tecnologia,Filme Solar,1759796,12.9,488608,59385,2.16,2045564.65,21:00
2015,3,2015-03-01,YouTube Music,Filme,Tecnologia,Top Hits,1672875,80.2,375259,1573,1.85,2710369.33,21:00
2015,3,2015-03-01,Spotify,Série,Ação,Podcast Tech,707974,77.0,129528,171216,2.02,4376671.73,08:00
2015,3,2015-03-01,Netflix,Filme,Drama,Top Hits,911077,43.5,430697,158710,1.66,2940136.18,18:00
2015,3,2015-03-01,Disney+,Filme,Drama,Série Mistério,77792,6.2,194359,71411,3.73,416611.69,08:00
2015,3,2015-03-01,Prime Video,Filme,Comédia,Top Hits,320909,48.7,275065,74571,4.04,2903821.14,08:00
2015,3,2015-03-01,YouTube Music,Música,Drama,Podcast Tech,710369,47.1,70708,181143,3.96,118255.46,12:00
2015,3,2015-03-01,YouTube Music,Filme,Drama,Top Hits,167065,26.3,60199,21534,4.26,2889709.46,21:00
2015,3,2015-03-01,Disney+,Podcast,Tecnologia,Podcast Tech,1808011,79.8,312845,43861,2.18,706734.34,21:00
2015,3,2015-03-01,YouTube Music,Série,Ação,Podcast Tech,1016849,17.8,53835,42980,2.17,2351983.74,18:00
2015,3,2015-03-01,Spotify,Música,Drama,Série Mistério,699364,39.7,77352,168774,3.38,1482112.34,12:00
2015,3,2015-03-01,Disney+,Série,Tecnologia,Podcast Tech,546646,30.5,93708,15559,1.88,225990.14,12:00
2015,3,2015-03-01,Netflix,Filme,Ação,Filme Solar,188383,77.9,143866,137646,1.34,3369447.71,18:00
2015,3,2015-03-01,Disney+,Filme,Pop,Top Hits,1491949,72.0,83926,6340,2.59,3577427.46,12:00
2015,3,2015-03-01,Prime Video,Filme,Pop,Podcast Tech,1450255,33.6,343578,129336,4.65,2144849.69,21:00
2015,3,2015-03-01,YouTube Music,Série,Comédia,Top Hits,1870791,46.1,20572,64710,1.46,4512256.76,12:00
2015,3,2015-03-01,YouTube Music,Música,Comédia,Podcast Tech,1644419,65.0,244542,181068,2.61,1996797.84,08:00
2015,3,2015-03-01,Netflix,Música,Tecnologia,Série Mistério,509154,65.5,436844,124079,1.08,1061184.63,21:00
2015,3,2015-03-01,Disney+,Podcast,Drama,Série Mistério,606034,66.7,338499,103639,2.9,1917324.67,18:00
2015,3,2015-03-01,YouTube Music,Música,Ação,Série Mistério,1257439,49.9,61710,28994,3.39,2188423.31,18:00
2015,3,2015-03-01,Netflix,Série,Pop,Podcast Tech,463478,69.3,310652,186628,2.3,3769173.92,12:00
2015,3,2015-03-01,Netflix,Música,Ação,Filme Solar,741357,8.5,268614,27412,1.03,205991.03,18:00
2015,3,2015-03-01,Prime Video,Podcast,Tecnologia,Podcast Tech,1663262,44.3,126781,5218,4.19,4629269.36,18:00
2015,3,2015-03-01,Netflix,Podcast,Tecnologia,Top Hits,1771508,32.4,425741,100651,2.3,3262703.15,12:00
2015,3,2015-03-01,Prime Video,Filme,Drama,Série Mistério,653541,21.4,492465,134458,3.66,4366594.0,21:00
2015,3,2015-03-01,Disney+,Filme,Tecnologia,Podcast Tech,1980660,6.9,113139,188071,1.51,4356847.45,18:00
2015,3,2015-03-01,Spotify,Música,Comédia,Podcast Tech,1615101,88.6,286050,62804,4.5,3738626.79,12:00
2015,3,2015-03-01,Spotify,Podcast,Comédia,Podcast Tech,612497,31.1,280688,12011,4.58,3529688.91,21:00
2015,3,2015-03-01,YouTube Music,Podcast,Comédia,Filme Solar,1531014,30.2,174614,37808,3.09,2137159.99,08:00
2015,3,2015-03-01,Prime Video,Podcast,Drama,Top Hits,1503580,6.5,373147,24370,1.46,4135911.59,21:00
2015,3,2015-03-01,Prime Video,Música,Drama,Série Mistério,1643738,62.6,396343,70491,4.04,4380843.26,21:00
2015,3,2015-03-01,Spotify,Série,Drama,Série Mistério,1545819,15.5,419592,42608,2.84,3819188.57,21:00
2015,4,2015-04-01,Disney+,Música,Tecnologia,Série Mistério,437338,9.8,494664,40100,2.98,2041304.58,18:00
2015,4,2015-04-01,Spotify,Série,Comédia,Série Mistério,1256739,33.7,365797,178806,1.62,3017524.26,21:00
2015,4,2015-04-01,Spotify,Filme,Tecnologia,Podcast Tech,1187096,42.0,430442,15829,2.2,1814328.91,12:00
2015,4,2015-04-01,Spotify,Série,Comédia,Série Mistério,1980009,61.0,105991,6163,4.81,3577910.13,21:00
2015,4,2015-04-01,YouTube Music,Música,Comédia,Filme Solar,1030050,65.0,51423,131405,2.67,4507549.16,18:00
2015,4,2015-04-01,YouTube Music,Podcast,Ação,Top Hits,1825141,55.2,344659,73859,2.35,4257434.46,08:00
2015,4,2015-04-01,Prime Video,Música,Ação,Podcast Tech,1104335,6.6,387985,61471,2.71,1225807.28,18:00
2015,4,2015-04-01,Netflix,Filme,Ação,Top Hits,1143934,58.1,369820,928,3.47,4366008.85,18:00
2015,4,2015-04-01,YouTube Music,Filme,Ação,Top Hits,639137,54.9,61110,11336,2.67,3726668.99,21:00
2015,4,2015-04-01,Spotify,Série,Pop,Top Hits,243264,73.2,82156,130774,1.8,790712.18,18:00
2015,4,2015-04-01,YouTube Music,Podcast,Ação,Podcast Tech,1588583,41.3,207141,82188,1.75,878836.23,21:00
2015,4,2015-04-01,Prime Video,Filme,Comédia,Filme Solar,147268,85.6,366843,146235,1.32,4335566.42,08:00
2015,4,2015-04-01,Netflix,Filme,Tecnologia,Top Hits,1679573,32.9,70546,66628,2.77,2777629.82,18:00
2015,4,2015-04-01,Disney+,Música,Tecnologia,Filme Solar,1425955,37.2,484028,118788,3.55,2209426.7,08:00
2015,4,2015-04-01,Spotify,Podcast,Comédia,Série Mistério,1161517,78.4,323206,52168,4.47,913502.94,21:00
2015,4,2015-04-01,Spotify,Podcast,Tecnologia,Podcast Tech,1267362,71.2,21207,133060,3.59,3191978.98,18:00
2015,4,2015-04-01,Prime Video,Podcast,Comédia,Filme Solar,1260918,31.5,312768,56381,4.17,4688170.64,18:00
2015,4,2015-04-01,YouTube Music,Podcast,Pop,Série Mistério,1862174,33.0,207282,171841,2.71,460720.67,08:00
2015,4,2015-04-01,Spotify,Filme,Ação,Filme Solar,816798,21.1,266526,184416,2.39,4274640.89,08:00
2015,4,2015-04-01,Spotify,Música,Drama,Filme Solar,329058,50.2,462741,65767,2.28,443421.31,08:00
2015,4,2015-04-01,Disney+,Podcast,Comédia,Série Mistério,345348,36.8,58865,174820,2.64,2277318.55,08:00
2015,4,2015-04-01,Prime Video,Música,Drama,Top Hits,1139745,86.4,440115,29788,4.52,1789351.9,08:00
2015,4,2015-04-01,YouTube Music,Podcast,Pop,Podcast Tech,1570282,61.8,142923,135813,2.75,165080.85,21:00
2015,4,2015-04-01,Spotify,Podcast,Ação,Filme Solar,145461,42.2,341975,192968,4.36,1957476.9,18:00
2015,4,2015-04-01,Spotify,Música,Tecnologia,Série Mistério,1095433,75.0,333040,32379,1.77,364004.91,12:00
2015,4,2015-04-01,Spotify,Música,Pop,Série Mistério,453004,47.1,449113,86490,3.25,2467182.23,18:00
2015,4,2015-04-01,YouTube Music,Série,Comédia,Série Mistério,1667873,68.3,376017,190016,3.74,2723482.8,12:00
2015,4,2015-04-01,Prime Video,Série,Comédia,Podcast Tech,699965,22.7,364889,197217,1.63,3128831.61,21:00
2015,4,2015-04-01,Netflix,Música,Tecnologia,Podcast Tech,1402037,46.8,358423,23269,4.5,2581761.27,18:00
2015,4,2015-04-01,Prime Video,Filme,Comédia,Filme Solar,1614113,54.6,200042,183540,2.53,1446445.16,21:00
2015,4,2015-04-01,Disney+,Filme,Drama,Podcast Tech,116620,53.2,348129,71168,1.46,1857895.66,12:00
2015,4,2015-04-01,Prime Video,Série,Ação,Filme Solar,872258,79.1,272273,34599,2.42,1851591.76,21:00
2015,4,2015-04-01,Disney+,Podcast,Tecnologia,Filme Solar,937281,77.8,13262,14558,2.08,2437555.77,18:00
2015,4,2015-04-01,Netflix,Podcast,Ação,Top Hits,1118235,60.2,181516,61804,2.51,3378912.33,18:00
2015,4,2015-04-01,Disney+,Série,Pop,Podcast Tech,1612891,25.5,112300,11955,2.06,4654388.07,08:00
2015,4,2015-04-01,YouTube Music,Música,Pop,Podcast Tech,106587,37.8,21581,177275,1.46,2124143.25,12:00
2015,4,2015-04-01,YouTube Music,Podcast,Comédia,Top Hits,816419,71.4,325905,39617,1.57,4080191.37,18:00
2015,5,2015-05-01,Disney+,Filme,Ação,Top Hits,670891,10.4,278548,34800,3.78,3564873.02,21:00
2015,5,2015-05-01,Netflix,Podcast,Drama,Série Mistério,1657351,53.5,46317,83520,2.14,2874979.34,08:00
2015,5,2015-05-01,Prime Video,Música,Pop,Podcast Tech,527357,14.7,477543,142461,2.71,4731955.03,21:00
2015,5,2015-05-01,Disney+,Podcast,Pop,Podcast Tech,317359,88.7,313723,176357,4.08,2501036.12,12:00
2015,5,2015-05-01,Spotify,Série,Drama,Podcast Tech,1073527,58.0,338872,154036,3.99,4907217.22,08:00
2015,5,2015-05-01,Spotify,Série,Ação,Podcast Tech,1652206,78.3,35294,121562,2.15,3045350.77,08:00
2015,5,2015-05-01,Disney+,Podcast,Tecnologia,Série Mistério,1862657,88.6,229714,37849,1.09,2103045.81,21:00
2015,5,2015-05-01,YouTube Music,Podcast,Tecnologia,Top Hits,1483561,12.5,311824,106404,2.22,4939945.47,12:00
2015,5,2015-05-01,Spotify,Música,Tecnologia,Podcast Tech,408182,71.9,359022,107434,1.06,4447593.15,08:00
2015,5,2015-05-01,YouTube Music,Filme,Drama,Podcast Tech,1949777,72.9,360359,155564,1.07,4432506.88,08:00
2015,5,2015-05-01,Spotify,Série,Ação,Podcast Tech,276342,81.0,63072,56830,4.24,1008399.28,21:00
2015,5,2015-05-01,Disney+,Podcast,Comédia,Podcast Tech,333697,60.0,50583,76680,4.64,2377327.37,08:00
2015,5,2015-05-01,YouTube Music,Podcast,Pop,Filme Solar,1882411,68.7,405823,3979,1.24,3557967.84,18:00
2015,5,2015-05-01,Disney+,Podcast,Comédia,Podcast Tech,636469,21.4,381696,96271,1.01,1050368.65,12:00
2015,5,2015-05-01,Spotify,Música,Tecnologia,Série Mistério,877313,35.5,333125,158518,3.14,3043481.34,08:00
2015,5,2015-05-01,Prime Video,Série,Comédia,Top Hits,1157951,85.0,239502,159251,3.26,4139732.54,12:00
2015,5,2015-05-01,Spotify,Podcast,Comédia,Série Mistério,291360,9.4,110327,29894,2.65,2004027.26,12:00
2015,5,2015-05-01,Spotify,Filme,Drama,Podcast Tech,430597,10.4,148289,84501,4.61,130829.91,12:00
2015,5,2015-05-01,Prime Video,Música,Pop,Filme Solar,918688,14.4,484792,16937,1.17,620939.05,08:00
2015,5,2015-05-01,Netflix,Podcast,Comédia,Filme Solar,1614178,73.8,352278,191560,2.93,4514045.21,12:00
2015,5,2015-05-01,Disney+,Série,Tecnologia,Série Mistério,1555818,34.9,198993,134721,2.4,2747523.84,08:00
2015,5,2015-05-01,Disney+,Série,Ação,Podcast Tech,106402,86.7,471627,169284,4.08,4793929.5,18:00
2015,5,2015-05-01,Netflix,Música,Pop,Série Mistério,1857278,64.2,204994,101307,2.12,3587525.86,21:00
2015,5,2015-05-01,Disney+,Série,Drama,Série Mistério,769621,81.6,354735,364,1.59,4574957.51,12:00
2015,5,2015-05-01,Disney+,Música,Comédia,Série Mistério,261388,36.7,166681,90159,4.67,2218239.83,12:00
2015,5,2015-05-01,Prime Video,Filme,Comédia,Filme Solar,630634,29.5,192688,30394,1.13,2774283.91,12:00
2015,5,2015-05-01,YouTube Music,Filme,Tecnologia,Filme Solar,882188,76.0,405947,62840,3.67,4320189.38,12:00
2015,5,2015-05-01,Spotify,Filme,Comédia,Top Hits,1353436,38.0,294020,32391,2.5,372275.98,08:00
2015,5,2015-05-01,Prime Video,Filme,Pop,Podcast Tech,1285898,5.7,43240,56036,3.27,356384.87,12:00
2015,5,2015-05-01,Netflix,Podcast,Comédia,Filme Solar,1160972,35.2,175816,5427,4.73,3780835.94,18:00
2015,5,2015-05-01,Spotify,Filme,Drama,Top Hits,689501,58.9,474185,20920,2.38,4823573.95,21:00
2015,5,2015-05-01,Spotify,Podcast,Pop,Série Mistério,1652444,35.5,337619,50886,3.57,3427630.26,18:00
2015,5,2015-05-01,Netflix,Filme,Tecnologia,Top Hits,378176,53.7,179571,40754,3.9,2103829.33,12:00
2015,5,2015-05-01,Prime Video,Podcast,Drama,Série Mistério,890715,14.6,404677,104404,4.94,28281.83,18:00
2015,5,2015-05-01,YouTube Music,Filme,Drama,Top Hits,528737,63.7,413743,186965,4.81,2252703.21,21:00
2015,5,2015-05-01,Prime Video,Podcast,Comédia,Top Hits,1556888,25.5,336333,36337,2.18,603540.27,21:00
2015,5,2015-05-01,Spotify,Filme,Drama,Top Hits,899355,19.2,474076,47278,2.72,4726630.82,08:00
2015,6,2015-06-01,Netflix,Podcast,Comédia,Série Mistério,624582,10.2,480584,181724,1.17,1329974.0,18:00
2015,6,2015-06-01,YouTube Music,Podcast,Pop,Podcast Tech,1849884,53.3,97412,192598,2.23,2687791.35,08:00
2015,6,2015-06-01,YouTube Music,Podcast,Comédia,Podcast Tech,186729,68.1,403300,171700,1.88,4473020.77,08:00
2015,6,2015-06-01,Prime Video,Podcast,Pop,Top Hits,1550266,77.9,238721,60707,2.86,501179.18,12:00
2015,6,2015-06-01,Prime Video,Música,Ação,Top Hits,1119483,40.5,204100,178143,3.75,824484.79,18:00
2015,6,2015-06-01,YouTube Music,Música,Comédia,Podcast Tech,1828730,30.9,471769,54199,4.83,2358970.11,21:00
2015,6,2015-06-01,Netflix,Série,Pop,Série Mistério,1879022,37.8,492827,180061,4.38,1832180.17,21:00
2015,6,2015-06-01,Netflix,Música,Pop,Podcast Tech,606281,50.0,415956,2715,1.22,2026823.45,21:00
2015,6,2015-06-01,Prime Video,Música,Drama,Podcast Tech,1047498,37.4,194636,10011,2.26,2810488.72,08:00
2015,6,2015-06-01,Prime Video,Série,Comédia,Filme Solar,1741723,80.9,283545,152183,3.38,4622280.57,12:00
2015,6,2015-06-01,YouTube Music,Música,Pop,Filme Solar,397384,57.2,465534,75802,1.71,280500.79,08:00
2015,6,2015-06-01,YouTube Music,Podcast,Pop,Top Hits,836904,58.6,271980,84902,3.78,3659734.6,21:00
2015,6,2015-06-01,Prime Video,Série,Tecnologia,Podcast Tech,296094,88.7,49432,187887,1.72,50469.45,18:00
2015,6,2015-06-01,Prime Video,Filme,Pop,Filme Solar,762703,20.1,421189,186624,4.57,1616051.04,18:00
2015,6,2015-06-01,Netflix,Filme,Comédia,Série Mistério,1861623,81.7,151411,181456,3.12,181858.67,12:00
2015,6,2015-06-01,Prime Video,Série,Comédia,Filme Solar,518241,30.0,150289,81021,2.98,4287092.57,08:00
2015,6,2015-06-01,Disney+,Podcast,Ação,Série Mistério,122219,53.6,271974,158529,1.19,2445499.78,08:00
2015,6,2015-06-01,YouTube Music,Série,Ação,Top Hits,1948241,59.7,435228,185495,2.83,370986.79,18:00
2015,6,2015-06-01,Disney+,Podcast,Ação,Podcast Tech,1409430,39.0,124711,119575,4.13,565207.26,18:00
2015,6,2015-06-01,Disney+,Série,Pop,Top Hits,1643778,52.7,144718,32044,4.42,3701582.49,12:00
2015,6,2015-06-01,Netflix,Podcast,Drama,Podcast Tech,1207355,46.0,493983,4973,4.72,1388194.11,12:00
2015,6,2015-06-01,Netflix,Música,Ação,Top Hits,719992,80.5,290631,67807,4.05,3471021.2,08:00
2015,6,2015-06-01,Spotify,Filme,Ação,Filme Solar,985524,70.7,345982,191522,3.3,893829.16,21:00
2015,6,2015-06-01,YouTube Music,Filme,Tecnologia,Top Hits,1757899,15.3,118753,76131,1.57,2801248.77,08:00
2015,6,2015-06-01,Disney+,Filme,Ação,Filme Solar,1556024,10.0,356501,21149,2.27,965606.9,08:00
2015,6,2015-06-01,Netflix,Música,Pop,Podcast Tech,1606235,52.0,329757,145142,2.66,534499.57,21:00
2015,6,2015-06-01,Disney+,Podcast,Drama,Série Mistério,1380217,51.6,97960,12686,2.13,3255275.41,18:00
2015,6,2015-06-01,Spotify,Música,Comédia,Podcast Tech,1162138,11.2,157008,145321,1.95,1291377.21,12:00
2015,6,2015-06-01,Prime Video,Música,Tecnologia,Top Hits,1514208,37.8,228816,126638,1.44,590008.02,12:00
2015,6,2015-06-01,Prime Video,Filme,Ação,Filme Solar,495302,79.3,463199,115492,3.73,4219639.72,12:00
2015,6,2015-06-01,Netflix,Música,Comédia,Filme Solar,1585423,21.7,236486,127529,3.83,2928959.53,12:00
2015,6,2015-06-01,Prime Video,Música,Comédia,Top Hits,1718790,78.1,296346,174037,3.68,2164351.11,12:00
2015,6,2015-06-01,Prime Video,Série,Tecnologia,Série Mistério,869637,46.1,247523,71960,2.32,3004828.74,21:00
2015,6,2015-06-01,Prime Video,Podcast,Tecnologia,Podcast Tech,1762623,15.1,487678,124530,3.7,185913.52,18:00
2015,6,2015-06-01,Disney+,Filme,Drama,Filme Solar,23061,29.8,147819,160096,4.15,3494847.77,21:00
2015,6,2015-06-01,Netflix,Série,Drama,Top Hits,948469,54.0,398699,154687,2.18,29804.48,08:00
2015,6,2015-06-01,Disney+,Música,Comédia,Podcast Tech,803330,70.7,259043,16828,2.39,1269177.11,18:00
2015,7,2015-07-01,Prime Video,Podcast,Comédia,Podcast Tech,1571047,41.7,251087,57718,2.58,4744605.68,08:00
2015,7,2015-07-01,Netflix,Podcast,Ação,Podcast Tech,333814,81.0,428942,93697,4.7,3268617.72,18:00
2015,7,2015-07-01,YouTube Music,Música,Drama,Podcast Tech,210834,77.2,192722,108038,2.73,1700144.66,08:00
2015,7,2015-07-01,Disney+,Música,Tecnologia,Top Hits,1323781,48.4,328223,127816,5.0,1745952.89,18:00
2015,7,2015-07-01,YouTube Music,Filme,Tecnologia,Filme Solar,1100467,77.1,319014,142720,3.28,2469274.47,08:00
2015,7,2015-07-01,Netflix,Música,Pop,Série Mistério,18178,12.4,117561,55912,3.5,1890725.18,08:00
